addr1,addr2,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,modifiedtime,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
서울특별시 영등포구 국회대로 608 (당산동3가),,1826438,12,20130710015447,http://tong.visitkorea.or.kr/cms/resource/27/3466927_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3466927_image3_1.jpg,126.9015402823,37.5262992108,20250731142143,,경찰혼,07258,11,560,HS,HS02,HS020100
서울특별시 종로구 새문안로 45,,126484,12,20031027090000,http://tong.visitkorea.or.kr/cms/resource/37/3482237_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3482237_image3_1.jpg,126.9685079323,37.5704425020,20250313104321,,경희궁,03177,11,110,HS,HS01,HS010100
서울특별시 중구 장충동2가,192-5,1606042,12,20120418230309,http://tong.visitkorea.or.kr/cms/resource/95/1569195_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/1569195_image3_1.jpg,127.0011136538,37.5577528954,20241018171230,,경희궁 숭정전,04623,11,140,HS,HS01,HS010100
서울특별시 종로구 새문안로 55 (신문로2가),,1604784,12,20120417231735,http://tong.visitkorea.or.kr/cms/resource/55/3384855_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/55/3384855_image3_1.JPG,126.9707771853,37.5698981615,20250313134049,,경희궁 흥화문,03177,11,110,HS,HS01,HS010300
서울특별시 종로구 새문안로 55 (신문로2가),,1604824,12,20120417234220,http://tong.visitkorea.or.kr/cms/resource/98/3531398_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/3531398_image3_1.jpg,126.9707771853,37.5698981615,20250909173100,,경희궁공원,03177,11,110,VE,VE03,VE030500
서울특별시 양천구 신정동,,2611568,12,20190718003936,http://tong.visitkorea.or.kr/cms/resource/61/2611561_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/61/2611561_image3_1.bmp,126.8474483699,37.5127914822,20250404154313,,계남근린공원,08106,11,470,VE,VE03,VE030500
서울특별시 양천구 중앙로17길 21 (신정동),,3428372,12,20241128154957,http://tong.visitkorea.or.kr/cms/resource/03/3432303_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/3432303_image3_1.jpg,117.9925662504,19.6944274800,20250404152317,,계남근린공원,08106,11,470,VE,VE03,VE030400
서울특별시 종로구 계동길 89 (계동),,3045019,12,20231121110102,http://tong.visitkorea.or.kr/cms/resource/73/3045073_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3045073_image3_1.jpg,126.9867059647,37.5813498946,20250403100822,,계동배렴가옥,03056,11,110,VE,VE12,VE120300
서울특별시 광진구 능동로 216,(능동) 서울어린이대공원 내,1826457,12,20130710020447,,,127.0771625000,37.5500801547,20250730102353,,고당조만식선생동상,04991,11,215,VE,VE01,VE010500
서울특별시 구로구 고척로45길 39 (고척동),,2591797,12,20190313222317,http://tong.visitkorea.or.kr/cms/resource/27/3400227_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/3400227_image3_1.JPG,126.8533341175,37.5066367467,20250331150223,,고척근린공원,08239,11,530,VE,VE03,VE030400
서울특별시 구로구 고척동,산 8,2591799,12,20190313223130,http://tong.visitkorea.or.kr/cms/resource/28/3401728_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/3401728_image3_1.JPG,126.8473068338,37.5086169645,20250331145136,,고척동 고인돌,08242,11,530,HS,HS01,HS011000
서울특별시 서대문구 충정로 8,,2453179,12,20161213013619,http://tong.visitkorea.or.kr/cms/resource/45/3462945_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3462945_image3_1.jpg,126.9631392793,37.5597464264,20250402164948,,고촌이종근기념관,03742,11,410,EX,EX06,EX061000
서울특별시 광진구 능동로 216 (능동),(어린이대공원 내),1827189,12,20130711223757,http://tong.visitkorea.or.kr/cms/resource/97/3466797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3466797_image3_1.jpg,127.0762792676,37.5493552228,20250610100630,,고하송진우선생동상,04991,11,215,VE,VE01,VE010500
서울특별시 마포구 만리재로 19 (공덕동),,749192,12,20090608184451,http://tong.visitkorea.or.kr/cms/resource/23/3384423_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/3384423_image3_1.JPG,126.9533433790,37.5445785695,20250317211337,,공덕동 족발골목,04214,11,440,VE,VE04,VE040100
서울특별시 서초구 바우뫼로7길 111,,776082,12,20090810181933,http://tong.visitkorea.or.kr/cms/resource/03/3393103_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/3393103_image3_1.JPG,127.0222641043,37.4737408098,20250317223338,,관문사(서울),06762,11,650,HS,HS03,HS030100
서울특별시 관악구 광신길 142 (신림동),,3428259,12,20241128135419,http://tong.visitkorea.or.kr/cms/resource/77/3428277_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3428277_image3_1.jpg,126.9271202346,37.4649234640,20250731131103,,관악도시농업공원,08848,11,620,NA,NA05,NA050100
서울특별시 관악구 관악로,(신림동),126480,12,20040129090000,,,126.9540987991,37.4484036407,20240520102329,,관악산,08826,11,620,NA,NA01,NA010100
서울특별시 관악구 낙성대로 77,,126513,12,20041230090000,http://tong.visitkorea.or.kr/cms/resource/63/3503463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3503463_image3_1.jpg,126.9602475997,37.4711316683,20250710141959,,관악산 낙성대공원,08799,11,620,HS,HS01,HS011200
서울특별시 관악구 문성로16다길 133-17 (신림동),,756580,12,20090623233349,http://tong.visitkorea.or.kr/cms/resource/67/3503467_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3503467_image3_1.jpg,126.9125881016,37.4692949186,20250710143207,,관악산 선우공원,08866,11,620,NA,NA04,NA040500
서울특별시 관악구 신림동,203,756594,12,20090623234834,http://tong.visitkorea.or.kr/cms/resource/24/3540224_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3540224_image3_1.jpg,126.9473157972,37.4585523416,20250917174142,,관악산 호수공원,08825,11,620,VE,VE03,VE030500
서울특별시 관악구 대학동 203번지 일대,,756590,12,20090623234132,http://tong.visitkorea.or.kr/cms/resource/45/755545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/755545_image3_1.jpg,126.9472963541,37.4585690064,20250528155418,,관악산공원 야외식물원,"151-858,1",11,620,NA,NA04,NA040700
서울특별시 관악구 신림동,산27-1,3081140,12,20231204140303,http://tong.visitkorea.or.kr/cms/resource/38/3081138_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/38/3081138_image3_1.JPG,126.9455546273,37.4663402951,20240115102153,,관악산자연공원,08706,11,620,NA,NA04,NA040500
서울특별시 관악구 승방1길 109-80,(남현동),126916,12,20021021090000,http://tong.visitkorea.or.kr/cms/resource/59/3526759_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/59/3526759_image3_1.JPG,126.9765239933,37.4676601403,20250826165044,,관음사(서울),08809,11,620,HS,HS03,HS030100
서울특별시 관악구 신림동,산 56-2,2779550,12,20211125195955,http://tong.visitkorea.or.kr/cms/resource/56/2796456_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2796456_image2_1.jpg,126.9383143508,37.4403515161,20250328142318,,관음사국기봉,08827,11,620,NA,NA01,NA010100
서울특별시 중구 퇴계로34길 28,,1605990,12,20120418220136,http://tong.visitkorea.or.kr/cms/resource/88/3077788_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/3077788_image3_1.JPG,126.9935754302,37.5585082277,20250820100944,,관훈동 민씨 가옥 (구 부마도위박영효가옥),04626,11,140,HS,HS01,HS010400
서울특별시 광진구 능동로 238,,130938,12,20070802090000,http://tong.visitkorea.or.kr/cms/resource/02/3540002_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3540002_image3_1.jpg,127.0771624650,37.5513105664,20250917161324,,광나루안전체험관,04991,11,215,VE,VE12,VE120300
서울특별시 강동구 선사로 83-19 (천호동),,3065938,12,20231211175254,http://tong.visitkorea.or.kr/cms/resource/16/3065916_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/3065916_image3_1.jpg,127.1179978077,37.5453008895,20250807144043,,광나루자전거공원,05250,11,740,VE,VE03,VE030400
서울특별시 강동구 선사로 83-106 (암사동),83-106,250252,12,20070921090000,http://tong.visitkorea.or.kr/cms/resource/11/3393811_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/3393811_image3_1.JPG,127.1222639517,37.5500198634,20250807150154,,광나루한강공원,05249,11,740,VE,VE03,VE030100
서울특별시 강동구 선사로 83-106 (암사동),,814195,12,20091006200918,http://tong.visitkorea.or.kr/cms/resource/41/3508141_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3508141_image3_1.jpg,127.1222639517,37.5500198634,20250717100625,,광나루한강공원 암사생태공원,05249,11,740,NA,NA04,NA040500
서울특별시 광진구 광나루로 389 (군자동),,3060896,12,20231129171026,http://tong.visitkorea.or.kr/cms/resource/11/3052711_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3052711_image3_1.jpg,127.0732295916,37.5477470211,20250818153735,,광진광장공원,05006,11,215,VE,VE03,VE030100
서울특별시 강동구 구천면로 77,(천호동),1366921,12,20110819021516,http://tong.visitkorea.or.kr/cms/resource/99/3484699_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3484699_image3_1.jpg,127.1141592915,37.5444759163,20250331150334,,광진교 8번가,05250,11,740,VE,VE01,VE010200
서울특별시 종로구 서린동,,3094518,12,20240202155541,http://tong.visitkorea.or.kr/cms/resource/11/3094511_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3094511_image3_1.jpg,126.9811151529,37.5691539885,20240202155603,,광통교,03188,11,110,VE,VE01,VE010300
서울특별시 종로구 사직로 161,,126512,12,20031027090000,http://tong.visitkorea.or.kr/cms/resource/72/3069472_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/3069472_image3_1.JPG,126.9768042386,37.5760725520,20250624174100,,광화문,03045,11,110,HS,HS01,HS010300
서울특별시 종로구 세종대로 172,,775394,12,20090805025125,http://tong.visitkorea.or.kr/cms/resource/24/3083624_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/3083624_image3_1.JPG,126.9769709861,37.5727035021,20250711164820,,광화문광장,03154,11,110,VE,VE03,VE030500
서울특별시 마포구 독막로21길 15,,2500218,12,20170718203301,http://tong.visitkorea.or.kr/cms/resource/35/3393035_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/3393035_image3_1.JPG,126.9286760682,37.5486359893,20250317211355,,광흥당,04065,11,440,EX,EX01,EX010100
서울특별시 중구 퇴계로 344,,129502,12,20070403090000,,,127.0096987947,37.5643772800,20250319172433,,광희문,04614,11,140,HS,HS01,HS010300
서울특별시 강동구 천중로 64 (천호동),,2761661,12,20211025223112,http://tong.visitkorea.or.kr/cms/resource/83/3463583_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3463583_image3_1.jpg,127.1288468315,37.5449094647,20250327163618,,구강사,05324,11,740,HS,HS03,HS030100
서울특별시 종로구 이화장길 81,(동숭동),250361,12,20071024090000,http://tong.visitkorea.or.kr/cms/resource/72/2031872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2031872_image3_1.jpg,127.0032406515,37.5784255307,20250423162243,,구공업전습소본관,03087,11,110,HS,HS01,HS011100
서울특별시 구로구 공원로 73-1 (구로동),,3447964,12,20241217231958,http://tong.visitkorea.or.kr/cms/resource/36/3455136_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3455136_image3_1.jpg,126.8883643588,37.5030794513,20250731112145,,구로거리공원,08290,11,530,NA,NA05,NA050100
서울특별시 금천구 벚꽃로44길 17 (가산동),,2553960,12,20180717222207,http://tong.visitkorea.or.kr/cms/resource/88/3400288_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/3400288_image3_1.JPG,126.8836486898,37.4828567166,20250331165107,,구로공단 노동자생활체험관,08509,11,545,EX,EX06,EX061000
서울특별시 구로구 구로중앙로42길 27,구로구 반려견 놀이터,3112063,12,20240328195446,,,126.8757403642,37.5082258503,20240328214257,,구로구 반려견 놀이터,08205,11,530,VE,VE03,VE030500
서울특별시 구로구 가마산로25길 21 (구로동),,2591829,12,20190313234629,http://tong.visitkorea.or.kr/cms/resource/77/3399877_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/77/3399877_image3_1.JPG,126.8899921540,37.4971718329,20250331155037,,구로근린공원(이씨레물리노공원),08301,11,530,VE,VE03,VE030400
서울특별시 구로구 구로중앙로 197 (구로동),,2591803,12,20190313223748,http://tong.visitkorea.or.kr/cms/resource/47/3392947_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/3392947_image3_1.JPG,126.8785568966,37.5038652961,20250316162843,,구로기계공구단지,08216,11,530,VE,VE05,VE050100
서울특별시 구로구 구로중앙로 13 (구로동),,2733981,12,20210817191529,http://tong.visitkorea.or.kr/cms/resource/43/3468043_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3468043_image3_1.jpg,126.8918449243,37.4914308667,20250610101223,,구로리어린이공원,08312,11,530,VE,VE03,VE030100
서울특별시 서초구 논현로5길 31-11 (양재동),,2773272,12,20211111184437,http://tong.visitkorea.or.kr/cms/resource/53/3467253_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/3467253_image3_1.jpg,127.0489506338,37.4713026828,20250611092403,,구룡사,06791,11,650,HS,HS03,HS030100
서울특별시 서초구 염곡동,,2357761,12,20161230220453,http://tong.visitkorea.or.kr/cms/resource/90/3530390_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3530390_image3_1.jpg,127.0615995465,37.4690781677,20250902135634,,구룡산(서울),06792,11,650,NA,NA01,NA010100
서울특별시 강동구 암사동,,127379,12,20040227090000,http://tong.visitkorea.or.kr/cms/resource/20/3400820_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/20/3400820_image3_1.JPG,127.1401145966,37.5678542251,20250327161729,,구암서원 터(구암정),05205,11,740,HS,HS01,HS010700
서울특별시 광진구 광나루로 571 (구의동),,2452856,12,20161212232620,,,127.0930806620,37.5442227879,20250331133807,,구의 아리수 정수센터,04981,11,215,EX,EX06,EX061000
서울특별시 강북구 4.19로8길 17,,126524,12,20040216090000,http://tong.visitkorea.or.kr/cms/resource/37/3393837_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/3393837_image3_1.JPG,127.0091159038,37.6484480504,20250319174111,,국립4·19민주묘지,01009,11,305,HS,HS01,HS010800
서울특별시 종로구 삼청로 37,(세종로),2608977,12,20190703013858,http://tong.visitkorea.or.kr/cms/resource/93/3512693_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3512693_image3_1.jpg,126.9789455538,37.5816163907,20250728161144,,국립민속박물관&국립민속박물관 어린이박물관,03045,11,110,EX,EX06,EX061000
서울특별시 동작구 현충로 210,,126521,12,20020510090000,http://tong.visitkorea.or.kr/cms/resource/71/3531571_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3531571_image3_1.jpg,126.9732511193,37.5013561691,20250904094644,,국립서울현충원,06984,11,590,HS,HS01,HS011200
서울특별시 용산구 서빙고로 137 (용산동6가),,1604580,12,20120417195233,http://tong.visitkorea.or.kr/cms/resource/52/3505552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3505552_image3_1.jpg,126.9791278024,37.5211706397,20250711163627,,국립중앙박물관 전통염료식물원,04383,11,170,NA,NA04,NA040700
서울특별시 용산구 서빙고로 137 (용산동6가),,3448289,12,20241218105140,http://tong.visitkorea.or.kr/cms/resource/93/3451093_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3451093_image3_1.jpg,126.9791278024,37.5211706397,20250711162804,,국립중앙박물관전통염료식물원,04383,11,170,HS,HS01,HS011200
서울특별시 양천구 목동동로 167,(신정동),1710166,12,20120908004928,http://tong.visitkorea.or.kr/cms/resource/64/1984664_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1984664_image3_1.jpg,126.8700849711,37.5207742914,20241017172301,,국제선센터,08013,11,470,EX,EX07,EX070200
서울특별시 구로구 새말로 102,,2591805,12,20190313224536,http://tong.visitkorea.or.kr/cms/resource/28/3467228_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3467228_image3_1.jpg,126.8914195585,37.5058319638,20250610102113,,국제음식문화거리(INTERNATIONAL FOOD STREET),08289,11,530,VE,VE04,VE040100
서울특별시 영등포구 의사당대로 1,(여의도동),126827,12,20030405090000,,,126.9142167446,37.5319710006,20240521104438,,국회의사당,07233,11,560,VE,VE01,VE010100
서울특별시 구로구 궁동,45,2591809,12,20190313225421,,,126.8293197915,37.5012175047,20240521150940,,궁동저수지 생태공원,08249,11,530,NA,NA04,NA040500
서울특별시 종로구 인사동9길 26 (견지동),,3456212,12,20241220155413,http://tong.visitkorea.or.kr/cms/resource/11/3455811_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3455811_image3_1.jpg,126.9836425781,37.5734729769,20241220155424,,그라운드서울,03145,11,110,VE,VE12,VE120300
서울특별시 중랑구 망우로91길 100 (망우동),,1606052,12,20120418231315,,,127.1132965420,37.6047522315,20250320104741,,극락사(서울),02062,11,260,HS,HS03,HS030100
서울특별시 금천구 금하로 668 (시흥동),,2756120,12,20211013190746,http://tong.visitkorea.or.kr/cms/resource/43/3509843_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3509843_image3_1.jpg,126.9044365310,37.4527355849,20250724110312,,금빛공원,08629,11,545,VE,VE03,VE030100
서울특별시 종로구 비봉길 137,,298109,12,20071127231739,,,126.9534467684,37.6207780461,20240516143942,,금선사(서울),03000,11,110,HS,HS03,HS030100
서울특별시 동대문구 고산자로36길 3 (제기동),"본관 3층, 4층",3044625,12,20231120180408,http://tong.visitkorea.or.kr/cms/resource/66/3521366_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3521366_image3_1.jpg,127.0387485112,37.5789844381,20250814164039,,금성전파사 캠퍼스아트센터,02571,11,230,EX,EX07,EX070200
서울특별시 은평구 진관동,53-5,3082221,12,20231205145046,http://tong.visitkorea.or.kr/cms/resource/15/3082215_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/3082215_image3_1.JPG,126.9179965551,37.6444024400,20240116150732,,금암문화공원,03308,11,380,VE,VE03,VE030500
서울특별시 금천구 독산로54길 102-27 (독산동),,2756126,12,20211013191049,http://tong.visitkorea.or.kr/cms/resource/36/3467636_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3467636_image3_1.jpg,117.9925662504,19.6944274800,20250610104933,,금천 체육공원,08560,11,545,VE,VE03,VE030500
서울특별시 금천구 시흥대로38길 61 (시흥동),,2756134,12,20211013191335,http://tong.visitkorea.or.kr/cms/resource/14/3467814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3467814_image3_1.jpg,126.9044811476,37.4464529821,20250610104627,,금천 폭포공원,08650,11,545,VE,VE03,VE030100
서울특별시 금천구 범안로15길 57,,2553946,12,20180717202828,http://tong.visitkorea.or.kr/cms/resource/77/3400277_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/77/3400277_image3_1.JPG,126.8919733235,37.4688834875,20250316194748,,금천예술공장,08583,11,545,EX,EX06,EX061000
서울특별시 종로구 삼청로 118 (삼청동),,2993536,12,20230712145530,,,126.9819618211,37.5859909364,20250107170140,,기기국 번사창,03053,11,110,HS,HS01,HS011100
서울특별시 중구 퇴계로26가길 6,(예장동),2655928,12,20200512184319,http://tong.visitkorea.or.kr/cms/resource/67/3412267_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/67/3412267_image3_1.JPG,126.9902812673,37.5591608706,20250328144347,,기억의 터(일본군 위안부),04628,11,140,EX,EX07,EX070200
