contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard,created_at,updated_at
3043735,12,0,0,0,강서구청 체육관광과 02-2600-6082,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:27:54,2025-09-23 09:27:54
2733968,12,0,0,0,02-3780-0621~3,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:27:54,2025-09-23 09:27:54
2591792,12,0,0,0,서울 구로구 공원녹지과 02-860-2395,,연중무휴,,,,,상시 개방,불가능,없음,,없음,2025-09-23 09:27:55,2025-09-23 09:27:55
126501,12,0,0,0,02-926-4069,,연중무휴,,,,,04:00~19:00,가능,,,,2025-09-23 09:27:55,2025-09-23 09:27:55
3385911,12,0,0,0,서울시 강서구 공원녹지과 02-2600-4183,,연중무휴,,,,,상시 개방,불가능,,,,2025-09-23 09:27:55,2025-09-23 09:27:55
3440844,12,0,0,0,0507-1357-8670,,매주 월요일,,,,,화~일 12:00 ~ 18:00,,,,,2025-09-23 09:27:55,2025-09-23 09:27:55
2733966,12,0,0,0,구로구청 공원녹지과 02-860-3090,,연중무휴,,,,,상시 개방,불가능,없음,,없음,2025-09-23 09:27:55,2025-09-23 09:27:55
2758868,12,0,0,0,02-2199-7552,,연중무휴,,,,,상시개방,가능,없음,,가능,2025-09-23 09:27:55,2025-09-23 09:27:55
1604652,12,0,0,0,02-3700-3900,,"매주 화요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",,,,,"[1월~2월] 09:00~17:00 (입장마감 16:00)<br>
[3월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~12월] 09:00~17:00 (입장마감 16:00)",가능 (버스 50대 / 승용차 240대),없음,,없음,2025-09-23 09:27:56,2025-09-23 09:27:56
294505,12,0,0,0,02-914-2828,,연중무휴,템플스테이(휴식형 / 체험형),,,,09:00~18:00,가능,불가,,불가,2025-09-23 09:27:56,2025-09-23 09:27:56
2930839,12,0,0,0,용산구청 02-2199-6114,,,,,,,00:00 ~ 24:00,,,,,2025-09-23 09:27:56,2025-09-23 09:27:56
126508,12,0,0,0,02-3700-3900,,"매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",,,,,"[1월~2월] 09:00~17:00 (입장마감 16:00)<br>
[3월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~12월] 09:00~17:00 (입장마감 16:00)",가능 (승용차 240대 / 버스 50대),,,,2025-09-23 09:27:56,2025-09-23 09:27:56
2373204,12,0,0,0,중구청 문화재관리팀 02-3396-5842,,매주 토요일~일요일 / 법정공휴일,,,,,상시 개방,불가능,,,,2025-09-23 09:27:56,2025-09-23 09:27:56
2500229,12,0,0,0,"02-324-6200<br>
02-324-6028",,매주 월요일,,,,,11:00~20:00,불가능,없음,,없음,2025-09-23 09:27:57,2025-09-23 09:27:57
1826438,12,0,0,0,국가보훈부 1577-0606,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:27:57,2025-09-23 09:27:57
126484,12,0,0,0,02-724-0274~6,,매주 월요일 / 1월 1일,,,,,09:00~18:00 (입장마감 17:30),가능,없음,,없음,2025-09-23 09:27:57,2025-09-23 09:27:57
1606042,12,0,0,0,02-3396-5843,,월요일,,,,,09:00 ~ 18:00,있음,없음,,없음,2025-09-23 09:27:57,2025-09-23 09:27:57
1604784,12,0,0,0,02-724-0274~6,,매주 월요일 / 1월 1일,,,,,09:00~18:00 (입장마감 17:30),가능,없음,,없음,2025-09-23 09:27:58,2025-09-23 09:27:58
1604824,12,0,0,0,종로구청 도시녹지과 02-2148-2842,2002년,매주 월요일 / 1월 1일,,,,,09:00~18:00 (입장 마감 17:30),가능,,,,2025-09-23 09:27:58,2025-09-23 09:27:58
2611568,12,0,0,0,양천구청 공원녹지과 02-2620-3576,,연중무휴,,,,,상시 개방,불가능,없음,,없음,2025-09-23 09:27:58,2025-09-23 09:27:58
3428372,12,0,0,0,02262035,,연중무휴,,,,,,,,,,2025-09-23 09:27:58,2025-09-23 09:27:58
3045019,12,0,0,0,02-765-1375,,,,,,,10:00 ~ 18:00,,,,,2025-09-23 09:27:58,2025-09-23 09:27:58
1826457,12,0,0,0,국가보훈부 1577-0606,,연중무휴,,,,,"05:00~22:00<br>
※ 계절 및 날씨 등에 따라 변경 가능",가능,,,,2025-09-23 09:27:59,2025-09-23 09:27:59
2591797,12,0,0,0,02-2619-6640,1988년 12월에 조성,연중무휴,,,,,상시 개방,가능,없음,,없음,2025-09-23 09:27:59,2025-09-23 09:27:59
2591799,12,0,0,0,구로구청 문화관광과 02-860-3401,,연중무휴,,,,,상시 개방,불가,없음,,없음,2025-09-23 09:27:59,2025-09-23 09:27:59
2453179,12,0,0,0,070-7094-4510,,국경일 / 공휴일,"어린이약사체험 / 제약회사 연구원 체험 / 제약회사 기업가 체험 / 역학조사 연구원 체험 / 콘텐츠 크리에이터 체험 / GoGo 1941, 약방속으로 등",,,,"- 하절기(3~10월) 10:00~17:00<br>
- 동절기(11~2월) 10:00~16:00",가능,없음,,없음,2025-09-23 09:27:59,2025-09-23 09:27:59
1827189,12,0,0,0,02-450-9311,,연중무휴,,,,,05:00~22:00,가능,없음,,없음,2025-09-23 09:27:59,2025-09-23 09:27:59
749192,12,0,0,0,마포관광정보센터 02-334-7878,,점포 별로 상이함,,,,,점포 별로 상이함,불가능,불가,,가능,2025-09-23 09:28:00,2025-09-23 09:28:00
776082,12,0,0,0,02-3460-5300,,연중무휴,※ 일정 별로 진행하는 프로그램이 상이하므로 자세한 사항은 홈페이지 참조,,,,프로그램 별로 상이함,가능,없음,,없음,2025-09-23 09:28:00,2025-09-23 09:28:00
3428259,12,0,0,0,02-878-6573,,"매주 월, 화, 공휴일 휴무","관악도시농업센터, 경작체험원, 습지원, 커뮤니티 공간, 양봉체험원, 허브장미원, 치유숲, 유아숲터 등",,,,수요일 ~ 일요일 10:00~17:00,있음,,,,2025-09-23 09:28:00,2025-09-23 09:28:00
126480,12,0,0,0,02-886-4701,,연중무휴,,,,,,관악산관리사무소 주차장,불가,없음,없음,2025-09-23 09:28:00,2025-09-23 09:28:00
126513,12,0,0,0,낙성대공원 관리사무소 02-879-6524,,연중무휴,,,,,상시 개방,가능,불가,,,2025-09-23 09:28:00,2025-09-23 09:28:00
756580,12,0,0,0,관악구청 공원녹지과 02-879-6547,2007년 12월,연중무휴,,,200명 이상,,상시 개방,가능,불가,,,2025-09-23 09:28:00,2025-09-23 09:28:00
756594,12,0,0,0,관악구청 공원녹지정책과 02-879-6525,1997년 3월,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:00,2025-09-23 09:28:00
3081140,12,0,0,0,02-2627-1653,,,"[ 산림치유 프로그램 ] 숲에서 쓰담쓰담 / 홀로 / 숲에서 토닥토닥 <br>
[ 관악산 숲속생태체험관 ] 숲 탐구생활 / 숲을 읽어드립니다",전연령,,,상시개방,있음,,,,2025-09-23 09:28:01,2025-09-23 09:28:01
126916,12,0,0,0,02-582-8609,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:01,2025-09-23 09:28:01
2779550,12,0,0,0,"관악구청 공원녹지정책과 02-879-6521~8<br>
관악구청 여가도시과 02-879-6551~4",,연중무휴,,,,,상시 개방,가능,없음,,없음,2025-09-23 09:28:01,2025-09-23 09:28:01
1605990,12,0,0,0,02-6358-5533,,"매주 월요일 (단, 월요일이 공휴일인 경우 정상 운영)",,,,,"- 하절기(4월~10월) 09:00~21:00<br>
- 동절기(11월~3월) 09:00~20:00",가능,,,,2025-09-23 09:28:02,2025-09-23 09:28:02
130938,12,0,0,0,02-2049-4061,,,,,,,"09:00~17:00<br>
※ 인터넷 사전 예약 필수",,,,,2025-09-23 09:28:03,2025-09-23 09:28:03
3065938,12,0,0,0,"미래한강본부강나루안내센터 02-3780-0501<br>
시민활동지원과 02-3780-0772",,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:04,2025-09-23 09:28:04
250252,12,0,0,0,02-3780-0501~4,,연중무휴,,,,,상시 개방,가능 (389대),,,,2025-09-23 09:28:04,2025-09-23 09:28:04
814195,12,0,0,0,070-7788-9670,2008년 12월 28일,연중무휴,맨발 걷기 힐링스쿨 / 즐거운 생태학교 / 숲밧줄 놀이 / 암사 생물탐사대 / EM비누 만들기 / 개구리학교 등,,,,상시 개방,가능,,,,2025-09-23 09:28:05,2025-09-23 09:28:05
3060896,12,0,0,0,광진구청 공원녹지과 02-450-7782,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:05,2025-09-23 09:28:05
1366921,12,0,0,0,02-476-0722,,매주 월요일 / 국경일 / 동절기,,,공연 1회 60명,,"- 3월/11월 12:00~18:00<br>
- 4월~10월 12:00~20:00<br>
※ 2025년 운영 기간 : 2025년 3월 4일~11월 30일",가능,없음,,없음,2025-09-23 09:28:05,2025-09-23 09:28:05
3094518,12,0,0,0,02-2290-7111(서울시설공단),,,,,,,,,,,,2025-09-23 09:28:06,2025-09-23 09:28:06
126512,12,0,0,0,02-3700-3900,,"매주 화요일<br>※ 단, 화요일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",,,,,"[1월~2월] 09:00~17:00 (입장마감 16:00)<br>
[3월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~12월] 09:00~17:00 (입장마감 16:00)<br>
※ 기관사정에 따라 관람시간 단축 및 조정이 있을 수 있음",가능 (240대),없음,,,2025-09-23 09:28:06,2025-09-23 09:28:06
775394,12,0,0,0,명동관광안내소 02-778-0333,2009년 8월 1일,연중무휴,,,,,상시 개방,불가능,,,,2025-09-23 09:28:06,2025-09-23 09:28:06
2500218,12,0,0,0,02-322-4450,,매주 토요일~일요일,전통문화행사,,,,09:00~18:00,,없음,,없음,2025-09-23 09:28:07,2025-09-23 09:28:07
129502,12,0,0,0,서울 중구청 건축과 02-3396-5843,,연중무휴,,,,,상시 개방,불가능,없음,,없음,2025-09-23 09:28:07,2025-09-23 09:28:07
2761661,12,0,0,0,02-479-4450,,연중무휴,,,,,09:00~18:00,가능,없음,,가능,2025-09-23 09:28:07,2025-09-23 09:28:07
3447964,12,0,0,0,02-860-2114,,연중개방,,,,,,,,,,2025-09-23 09:28:08,2025-09-23 09:28:08
2553960,12,0,0,0,02-830-8426,,매주 일요일 / 1월 1일 / 설·추석 연휴,순이의 하루 AR체험 / 역사도보투어 / 진로체험 / 도슨트해설 / 옛날 과자 먹기 / 키링 만들기 / 못난이 디폼블럭 만들기 / 순이네컷 사진촬영 / 뚝딱 가죽지갑 만들기,,,,10:00~17:00 (입장마감 16:30),가능,없음,,없음,2025-09-23 09:28:08,2025-09-23 09:28:08
3112063,12,0,0,0,,,,,,,,상시개방,,,가능,,2025-09-23 09:28:08,2025-09-23 09:28:08
2591829,12,0,0,0,구로구청 공원녹지과 02-860-3086,,연중무휴,,,,,상시 개방,불가능,없음,,없음,2025-09-23 09:28:09,2025-09-23 09:28:09
2591803,12,0,0,0,02-2633-0081~3,1981년 5월,업체 별로 상이함,,,,,업체 별로 상이함,가능,없음,,없음,2025-09-23 09:28:09,2025-09-23 09:28:09
2733981,12,0,0,0,구로구 공원녹지과 02-860-2396,,연중무휴,,,,,"- 동절기(11월~2월) 09:00~18:00<br>
- 하절기(3월~10월) 09:00~20:00",가능,없음,,없음,2025-09-23 09:28:09,2025-09-23 09:28:09
2357761,12,0,0,0,서초구청 푸른도시과 02-2155-6889,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:10,2025-09-23 09:28:10
127379,12,0,0,0,강동구청 문화예술과 문화관광팀 02-3425-5250,,연중무휴,,,,,상시 개방,불가능,불가,,없음,2025-09-23 09:28:10,2025-09-23 09:28:10
2452856,12,0,0,0,"대표전화 02-3146-5400<br>
체험안내 02-3146-5953 / 5415",,매주 토요일~일요일 / 법정공휴일,구의 문화유산 견학 프로그램,,1회에 10명~40명,,"10:00 / 14:00<br>
※ 사전 예약 필수",가능,없음,,없음,2025-09-23 09:28:10,2025-09-23 09:28:10
126524,12,0,0,0,02-996-0419,,"- 묘지 : 연중무휴 <br> - 기념관 : 매주 월요일<br> ※ 단, 월요일이 휴일일 경우 익일 휴무",,,,,"[출입문 개방시간]<br>
- 하절기(3월~10월) 06:00~18:00<br>
- 동절기(11월~2월) 07:00~17:00<br>
[기념관 / 봉안소]<br>
- 하절기(3월~10월) 09:30~17:30<br>
- 동절기(11월~2월) 09:30~16:30",가능 (100대),불가,,없음,2025-09-23 09:28:11,2025-09-23 09:28:11
2608977,12,0,0,0,02-3704-3114,,1월 1일 / 설날·추석 당일,박물관 속 또 하나의 학교 / 가족문화 체험교육,,,,"[국립민속박물관]<br>
- 3월~10월 09:00~18:00 (입장마감 17:00)<br>
- 11월~2월 09:00~17:00 (입장마감 16:00)<br>
※ 야간연장개관<br>
- 3월~10월 매주 토요일 09:00~20:00<br>
- 11월~2월 야간연장 미운영<br><br>
[국립민속박물관 어린이박물관]<br>
- 1월~12월 09:30~17:00<br>
※ 이용시간은 변동될 수 있으므로 홈페이지 참고",가능,,,,2025-09-23 09:28:11,2025-09-23 09:28:11
126521,12,0,0,0,1522-1555,,전시관 : 11월 공휴일 / 12월~2월 토요일·공휴일,"유아 체험학습실 / 국가상징체험학습 / 나랑사랑체험학습 등<br>
※ 자세한 사항은 홈페이지 참조",,,,"- 개방 시간 06:00~18:00<br>
-  업무 시설 개방 시간 09:00~18:00",가능,,,,2025-09-23 09:28:12,2025-09-23 09:28:12
1604580,12,0,0,0,02-2077-9000,,1월 1일 / 설·추석 연휴<br>※ 자세한 사항은 전화문의 요망,,,,,07:00~22:00<br>※ 자세한 사항은 전화문의 요망,가능,,,,2025-09-23 09:28:12,2025-09-23 09:28:12
1710166,12,0,0,0,02-2650-2200,,연중무휴,,,,,04:30~20:00,가능,없음,,불가,2025-09-23 09:28:13,2025-09-23 09:28:13
2591805,12,0,0,0,구로구 문화관광과 02-860-2410,,점포별 상이,,,,,점포별 상이,불가능,없음,,없음,2025-09-23 09:28:13,2025-09-23 09:28:13
126827,12,0,0,0,02-6788-2114,,,본회의장 참관 / 국회 체험 / 국회어린이박물관 관람,전연령 가능,,,,국회 참관객 차량은 국회 둔치 주차장 이용(유료),불가,불가,없음,2025-09-23 09:28:13,2025-09-23 09:28:13
2591809,12,0,0,0,02-860-3094,,,,,,,,없음,없음,없음,없음,2025-09-23 09:28:13,2025-09-23 09:28:13
3456212,12,0,0,0,0507-1303-5760,,,,,,,월~일 10:00  - 19:00,,,,,2025-09-23 09:28:14,2025-09-23 09:28:14
1606052,12,0,0,0,02-434-1717,,연중무휴,,,,,상시 개방,가능,없음,,없음,2025-09-23 09:28:14,2025-09-23 09:28:14
2756120,12,0,0,0,금천구청 공원녹지과 02-2627-1657,,연중무휴,,,,,상시 개방,가능,,,가능,2025-09-23 09:28:14,2025-09-23 09:28:14
298109,12,0,0,0,02-395-9911,,연중무휴,,,,,,있음 (무료),없음,불가,없음,2025-09-23 09:28:15,2025-09-23 09:28:15
3044625,12,0,0,0,02-3295-4947,,연중무휴,,,,,"- 운영시간 09:00~22:00<br>
- 체험시간 11:00~19:00<br>
※ 체험시간 외에는 전시 관람만 가능",불가능,,,,2025-09-23 09:28:15,2025-09-23 09:28:15
3082221,12,0,0,0,,,,,,,,,,,,,2025-09-23 09:28:15,2025-09-23 09:28:15
2756126,12,0,0,0,금천구 공원녹지과 02-2627-1662,2001. 6. 1,연중무휴,,,,,상시 개방,불가능,없음,,없음,2025-09-23 09:28:16,2025-09-23 09:28:16
2756134,12,0,0,0,금천구 공원녹지과 02-2627-1659,2008. 10. 20,연중무휴,,,,,상시 개방,불가능,없음,,없음,2025-09-23 09:28:16,2025-09-23 09:28:16
2553946,12,0,0,0,02-807-4800,2009-10-07,주말 및 공휴일,,,,,09:00~18:00,가능,없음,,없음,2025-09-23 09:28:16,2025-09-23 09:28:16
2993536,12,0,0,0,02-3700-1500,,연중무휴,,,,,상시 개방,가능,없음,,없음,2025-09-23 09:28:16,2025-09-23 09:28:16
2655928,12,0,0,0,02-761-2588,,연중무휴,보고 듣고 느끼며 걷는 기억의 길 / 기억의 터 상설해설프로그램,,,,상시 개방,가능<br>요금 (무료),없음,,없음,2025-09-23 09:28:17,2025-09-23 09:28:17
3060915,12,0,0,0,02-450-1395,,,,,,,,,,,,2025-09-23 09:28:17,2025-09-23 09:28:17
2756575,12,0,0,0,광진구 공원녹지과 02-450-7770,,연중무휴,,,,,상시 개방,가능,없음,,없음,2025-09-23 09:28:17,2025-09-23 09:28:17
127375,12,0,0,0,길동생태공원 02-472-2770,1999년 4월 28일,매주 월요일,"< 농촌체험 학습장 ><br>
-계절별로 논밭에서 작물을 재배하는 모습 관찰<br>
-수박 / 앵두 / 도라지 / 오디",,400명,,09:00~18:00,"길동생태공원내에는 별도의 주차장이 없으므로 공원 맞은편 길동생태문화센터 주차장 이용<br>
※ 주차장이 협소함으로 가능하면 대중교통을 이용 바람<br>
※ 요일제(전자태그)차량만 주차 가능",없음,없음,없음,2025-09-23 09:28:17,2025-09-23 09:28:17
2946113,12,0,0,0,0507-1415-8203,,매주 월요일~화요일,"원데이 클래스(물레성형, 핸드빌딩) / 취미 클래스 / 전문가&창업반",,,,10:00~22:00,가능,,,,2025-09-23 09:28:17,2025-09-23 09:28:17
128866,12,0,0,0,02-3672-5945,,연중무휴,,,,,09:00~18:00,가능,없음,,없음,2025-09-23 09:28:17,2025-09-23 09:28:17
3451976,12,0,0,0,1811-6700 / 1688-5500,,,,,,,,,,,,2025-09-23 09:28:18,2025-09-23 09:28:18
3525021,12,0,0,0,강서구청 공원녹지과 02-2600-4187,,연중무휴,,,,,상시 개방,불가능,,,,2025-09-23 09:28:19,2025-09-23 09:28:19
1827190,12,0,0,0,1577-0606,,연중무휴,,,,,상시 개방,불가능,,,,2025-09-23 09:28:19,2025-09-23 09:28:19
129501,12,0,0,0,02-743-7985~6,2002년 6월 12일,연중무휴,,,,,"상시 개방 <br>
※ 낙산 전시관 09:00~17:00",가능 (29대),,,,2025-09-23 09:28:20,2025-09-23 09:28:20
128872,12,0,0,0,02-763-3345,,연중무휴,템플스테이,,,,09:00~18:00,가능 (소형 약 15대),,,,2025-09-23 09:28:20,2025-09-23 09:28:20
699222,12,0,0,0,02-2148-1114,,,,,,,※ 매장마다 상이함,,없음,,가능,2025-09-23 09:28:20,2025-09-23 09:28:20
3056376,12,0,0,0,남인사동 관광안내소 02-737-7885,,점포 별로 상이함,,,,,점포 별로 상이함,불가능,,,,2025-09-23 09:28:20,2025-09-23 09:28:20
2784060,12,0,0,0,02-300-5500,,연중무휴,,,,,"[1월~2월 / 12월] 07:00~18:00<br>
[3월] 06:00~20:00<br>
[4월 / 9월] 05:30~20:00<br>
[5월] 05:00~20:00<br>
[6월~7월] 05:00~20:30<br>
[8월] 05:30~20:30<br>
[10월] 06:00~19:00<br>
[11월] 06:30~19:00","가능(평화의공원 주차장 1,162대 / 난지천공원 주차장 438대 / 난지삼거리 주차장 59대 / 노을공원 주차장 162대 / 난지중앙로 노상 주차장 113대)",없음,,없음,2025-09-23 09:28:21,2025-09-23 09:28:21
127859,12,0,0,0,02-3780-0611,,연중무휴,,,,,상시개방,가능,,,,2025-09-23 09:28:21,2025-09-23 09:28:21
1827191,12,0,0,0,국가보훈부 1577-0606,,연중무휴,,,,,"05:00~22:00<br />
※ 계절 및 날씨 등에 따라 변경 가능",가능,,,,2025-09-23 09:28:21,2025-09-23 09:28:21
748018,12,0,0,0,남대문시장 관광안내소 02-752-1913,,점포 별로 상이함,,,,,점포 별로 상이함,가능,불가,,없음,2025-09-23 09:28:21,2025-09-23 09:28:21
1603482,12,0,0,0,02-798-3771,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:22,2025-09-23 09:28:22
128776,12,0,0,0,"주간 02-753-2403<br />
야간 02-757-1308",,연중무휴,,,,,"10:00~23:00<br>
매표마감 : 왕복티켓 22:30 / 편도티켓 22:45",가능,없음,,없음,2025-09-23 09:28:22,2025-09-23 09:28:22
1603336,12,0,0,0,남산공원 02-3783-5900,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:22,2025-09-23 09:28:22
126747,12,0,0,0,"전통가옥 운영사무실 02-6358-5533<br>
문화관광해설 02-2133-6269",,"매주 월요일(단, 월요일이 공휴일일 경우 익일 휴관)",전통문화관광해설,,,,"- 하절기(04~10월) 09:00~21:00<br>
- 동절기(11~03월) 09:00~20:00",가능,가능,,,2025-09-23 09:28:22,2025-09-23 09:28:22
126485,12,0,0,0,02-3783-5900,,연중무휴,,,,,상시개방,가능,,,,2025-09-23 09:28:23,2025-09-23 09:28:23
126535,12,0,0,0,02-756-2486,,연중무휴,,,,,"- 평일 10:30~22:30<br>
- 주말 10:00~23:00",가능,,,,2025-09-23 09:28:23,2025-09-23 09:28:23
2783557,12,0,0,0,남산공원 02-3783-5900,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:23,2025-09-23 09:28:23
3067314,12,0,0,0,중구청 공원녹지과 02-3396-5852,,연중무휴,남산의 숨겨진 역사여행,,,,상시 개방,가능,,,,2025-09-23 09:28:23,2025-09-23 09:28:23
3447859,12,0,0,0,,,,,,,,,,,,,2025-09-23 09:28:24,2025-09-23 09:28:24
3082015,12,0,0,0,02-879-6523,,,,,,,상시개방,,,,,2025-09-23 09:28:24,2025-09-23 09:28:24
2946242,12,0,0,0,02-322-6682,,연중무휴,모루인형 / 데코덴 / 탑꾸 / 폴꾸 / 슬라임 / 비즈 목걸이 + 반지,,,,12:00 ~ 21:00 (라스트오더 19:50),불가능,,,,2025-09-23 09:28:24,2025-09-23 09:28:24
298341,12,0,0,0,02-941-2011,,연중무휴,,,,,,가능 (북한산국립공원 주차장),없음,,없음,2025-09-23 09:28:24,2025-09-23 09:28:24
2763685,12,0,0,0,02-826-1395,,연중무휴,,,,,상시 개방,가능,없음,,가능,2025-09-23 09:28:25,2025-09-23 09:28:25
2638475,12,0,0,0,02-749-4500,2019년 09월 28일,매주 월요일 / 1월 1일 / 설·추석,※ 일정 별로 진행하는 프로그램이 상이하므로 홈페이지 참조,,,,"[하절기(3월~10월)]<br>
- 화요일~금요일 10:00~21:00<br>
- 주말 및 공휴일 10:00~22:00<br>
[동절기(11월~2월)]<br>
- 화요일~일요일 10:00~20:00<br>
[야외공간] 상시 개방<br>
※ 개별시설마다 운영시간이 상이함",가능(일반차량 90대 / 대형 버스 1대 / 장애인차량 8대),불가,,가능,2025-09-23 09:28:25,2025-09-23 09:28:25
3067187,12,0,0,0,서울 관광안내소 02-6365-3100,,점포 별로 상이함,,,,,점포 별로 상이함,불가능,,,,2025-09-23 09:28:25,2025-09-23 09:28:25
2774274,12,0,0,0,서울 노원구 여가도시과 02-2116-0552,,"매주 월요일 / 우천, 태풍, 혹한 등 기상 악화 시",,,,,일몰 전 30분~22:00,가능,없음,,없음,2025-09-23 09:28:26,2025-09-23 09:28:26
2733971,12,0,0,0,월드컵공원 02-300-5500,,연중무휴,,,,,"05:30~20:00<br>
※ 자세한 사항은 전화문의 요망",가능,,,,2025-09-23 09:28:26,2025-09-23 09:28:26
3007012,12,0,0,0,노원구청 공원도시과 02-2116-3932,,연중무휴,,,,,상시 개방,가능,,,,2025-09-23 09:28:27,2025-09-23 09:28:27
3453040,12,0,0,0,02-351-8002,,연중무휴,,,,,상시 출입가능,,,,,2025-09-23 09:28:27,2025-09-23 09:28:27
1603149,12,0,0,0,02-577-5800,,연중무휴,,,,,"[외부] 상시 개방<br>
[내부] 06:00~17:000",가능,,,,2025-09-23 09:28:27,2025-09-23 09:28:27
2764354,12,0,0,0,02-901-5199,,※ 시설별 상이하므로 홈페이지 참고,축구교실 프로그램 / 배드민턴 프로그램 / 테니스 프로그램,,,,"[축구장] 06:00~22:00<br>
[배드민턴장]<br>
- 1부 06:00~09:00<br>
- 2부 10:00~13:00<br>
- 3부 14:00~17:00<br>
- 4부 18:00~22:00<br>
[테니스장]<br>
- 실내 06:00~12:00 / 13:00~22:00<br>
※ 주말 및 공휴일은 21:00까지 운영<br>
- 실외 06:00~22:00",가능,,,가능,2025-09-23 09:28:27,2025-09-23 09:28:27
2392535,12,0,0,0,02-2034-0600,,연중무휴,,모든 어린이 보호자 동반 필수,,,10:00~18:00 (입장마감 17:00),가능,,,,2025-09-23 09:28:28,2025-09-23 09:28:28
299978,12,0,0,0,02-813-7425,,연중무휴,,,,,08:30~17:00,가능,불가,,없음,2025-09-23 09:28:28,2025-09-23 09:28:28
2741117,12,0,0,0,성동구청 공원녹지과 02-2286-5655,,연중무휴,,,,,상시 개방,불가능,,,,2025-09-23 09:28:28,2025-09-23 09:28:28
